,Unnamed: 0,business_id,latitude,longitude,stars,review_count,is_closed,Nearest_Average_Rating,Nearest_Average_Num_Of_Reviews
0,0,AjEbIBw6ZFfln7ePHha9PA,35.960733700000006,-114.939821,4.5,3,0,No-Nearest,No-Nearest
1,1,O8S5hYJ1SMc8fA4QBtVujA,45.5405031,-73.5993003,4.0,5,0,3.906832298136646,16.82608695652174
2,2,KapTdGyGs7RK0c68Z6hhhg,43.862484,-79.30695970000001,1.5,12,0,3.1777777777777776,40.72222222222222
3,3,tZnSodhPwNr4bzrwJ1CSbw,43.664124900000004,-79.41188609999999,4.0,146,0,3.5559265442404007,44.02337228714524
4,4,r89Re4FNgVWHgBfjCVZyVw,45.507699,-73.55340699999998,3.5,12,0,3.5332681017612524,32.37769080234834
5,5,vJIuDBdu01vCA8y1fwR1OQ,36.1922841,-115.15927179999998,1.5,3,0,3.5,23.916666666666668
6,6,gsoSAb9t7Ar7Ww6O_3GuOg,40.0093278,-88.5763857,3.5,6,0,4.5,6.0
7,7,PMDlKLd0Mxj0ngCpuUmE5Q,43.6708846,-79.39237879999999,3.5,25,0,3.259493670886076,41.42314647377938
8,8,JJEx5wIqs9iGGATOagE8Sg,36.271169,-115.2677588,2.0,4,0,3.380952380952381,131.28571428571428
9,9,mr3rQcYBKWu2L6o7qtQ9Wg,43.6691157,-79.42602109999999,4.0,31,0,3.5711743772241995,42.56583629893238
10,10,zXRf_6Bs1yX9an_QKpzbHQ,35.138125,-80.8774324,2.0,9,0,3.3333333333333335,14.083333333333334
11,11,DcyeRzICLrMkrPpJDzjQ6Q,43.67416392649999,-79.2873923228,2.0,6,0,3.4066666666666667,19.973333333333333
12,12,2j5hnwYzS-YLJn6IFqloCw,43.648678100000005,-79.3972345,3.5,4,0,3.394177449168207,49.46765249537893
13,13,rFeJgbnLxtcdqIpBdhpxtQ,33.574998,-111.90542099999999,4.0,13,0,3.64,70.48
14,14,DQiYI7teoXNpsp3oDaJEhA,49.1696,8.07395,4.5,9,0,No-Nearest,No-Nearest
